assetCode,name,category,location,status,installDate,model,manufacturer,serialNumber,description
BC02001098,半自动压接机Drive Cliq  2绿色压接机,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02050059,自动压接机M 2SC750压接机,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02050055,气动压接机Drive Cliq  2绿色压接机,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02001073,国产替代索尼格剥打机M 2小端子机,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02001101,压接机Drive Cliq  3压818862,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02001009,屏蔽松散机-8000/1HDM准备,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02140037,剥线机HDM蓝色剥线机,MECHANICAL,AD-Production,ACTIVE,,,,,
BC05001003,剥线压接机Drive Cliq  3PP3压接机,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02050035,压接机Signal  2压接东泰接头,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02050062,压接机 Drive Cliq  3压818862,MECHANICAL,AD-Production,ACTIVE,,,,,
BC05001045,气动剥线机HDM2015小剥线机,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02140040,剥线机Signal  12015小剥线机,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02120112,屏蔽打散机Power 2,MECHANICAL,AD-Production,ACTIVE,,,,,
BC05000984,气动压接机M 2灰色压接机,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02050033,压接机Signal  2压接东泰接头,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02000577,索铌格2300剥线机M 2,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02050058,剥线压接机Drive Cliq  3PP3压接机,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02001200,PP3-压接机 serial no. 2024-02-04 SLSignal ,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02140049,剥线机_Z-F AI 04HDM蓝色压接机,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02001201,PP3-压接机 serial no. 2024-02-01 SLHDM,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02001007,压接机Crimping machine for semi-auto crimpiHDM,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02001008,剥线机Stripping machine for long length剥线区,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02050044,气动压接机Power 2接地片,MECHANICAL,AD-Production,ACTIVE,,,,,
BC02001007-1,压接机Crimping machine for semi-auto crimpi,MECHANICAL,HDM-Production,ACTIVE,,,,,
BC02000577-1,索铌格2300剥线机,MECHANICAL,HDM-Production,ACTIVE,,,,,
BC05000006, 吸烟仪,MECHANICAL,HDM-Production,ACTIVE,,,,,
BC02000592,TR弹簧线卷线机含主动放线架,MECHANICAL,TMP-Production,ACTIVE,,,,,
BC02001042,四点压接机-适配 0.08-4MM,MECHANICAL,RS-Production,ACTIVE,,,,,
BC02001049,同轴剥线机-2300,MECHANICAL,HDM-Production,ACTIVE,,,,,
BC02000590,TR弹簧线烘烤箱,MECHANICAL,TMP-Production,ACTIVE,,,,,
BC02001197,同轴剥线机,MECHANICAL,RS-Production,ACTIVE,,,,,
BC02000591,TR弹簧线返卷机,MECHANICAL,TMP-Production,ACTIVE,,,,,
BC04000115,拉力测试仪,MECHANICAL,RS-Production,ACTIVE,,,,,
BC05000997,RENNSTEIG 636 0723 3 CM25-3压接机,MECHANICAL,RS-Production,ACTIVE,,,,,
BC02001200-1,PP3-压接机 serial no. 2024-02-04 SL,MECHANICAL,AD-Production,ACTIVE,,,,,
BC05000898,定制款四点压接机/0.08-4mm?,MECHANICAL,RS-Production,ACTIVE,,,,,
BC02001201-1,PP3-压接机 serial no. 2024-02-01 SL,MECHANICAL,HDM-Production,ACTIVE,,,,,
BC04000037,端子拉力测试机-1000N-50000N  (1%精度）,MECHANICAL,RS-Production,ACTIVE,,,,,
BC02140048,Z-F 剥线机,MECHANICAL,RS-Production,ACTIVE,,,,,
BC05000977,定制款四点压接机/0.5-10mm?,MECHANICAL,RS-Production,ACTIVE,,,,,
BC02050041-1,海昌台式压接机 ,MECHANICAL,RS-Production,ACTIVE,,,,,
BC02001077,HC-C-C-同轴压接机YJ-07-BC02001077,MECHANICAL,HC-Production,ACTIVE,,,,,
BC05001037,HC-前道-同轴剥线机BX-3-BC05001037,MECHANICAL,HC-Production,ACTIVE,,,,,
BC02120059,HC-S2流水-点胶固化机-BC02120059,MECHANICAL,HC-Production,ACTIVE,,,,,
BC02001199,HC-机器压接处-PP3蓝色YJ-70-BC02001199,MECHANICAL,HC-Production,ACTIVE,,,,,
BC05000966,HC-前道-自动剥线机BX-13-BC05000966,MECHANICAL,HC-Production,ACTIVE,,,,,
BC05000944,HC-Other-大炮压接机-BC05000944,MECHANICAL,HC-Production,ACTIVE,,,,,
BC02001092,HC-S3流水-吸烟机-BC02001092,MECHANICAL,HC-Production,ACTIVE,,,,,
BC05000939,HC-前道-同轴剥线机BX-2-BC05000939,MECHANICAL,HC-Production,ACTIVE,,,,,
BC02050067,HC-机器压接处-SC200全自动-BC02050067,MECHANICAL,HC-Production,ACTIVE,,,,,
BC02000200,HC-Other-拉力机-BC02000200,MECHANICAL,HC-Production,ACTIVE,,,,,
BC02120077,HC-C-C-点胶固化机-BC02120077,MECHANICAL,HC-Production,ACTIVE,,,,,
BC02140028,HC-Other-大线剥线机-BC02140028,MECHANICAL,HC-Production,ACTIVE,,,,,
BC02001198,HC-机器压接处-PP3蓝色YJ-71-BC02001198,MECHANICAL,HC-Production,ACTIVE,,,,,
BC02050049,HC-L-L-油缸压接机-BC02050049,MECHANICAL,HC-Production,ACTIVE,,,,,
BC02120067,HC-工段长工位旁-切热缩管机-BC02120067,MECHANICAL,HC-Production,ACTIVE,,,,,
BC02001157,HC-工段长工位旁-注塑机-BC02001157,MECHANICAL,HC-Production,ACTIVE,,,,,
BC05000942,HC-前道-屏蔽线打散机-BC05000942,MECHANICAL,HC-Production,ACTIVE,,,,,
BC02140045,HC-L-L-蓝色剥线机-BC02140045,MECHANICAL,HC-Production,ACTIVE,,,,,
BC02001205,HC-C-C-欧杜小针压接机-BC02001205,MECHANICAL,HC-Production,ACTIVE,,,,,
BC02000378,HC-79流水-拉力机-BC02000378,MECHANICAL,HC-Production,ACTIVE,,,,,
BC02050066,HC-S2流水-索尼格剥线机-BC02050066,MECHANICAL,HC-Production,ACTIVE,,,,,
BC05000952,HC-前道-同轴剥线机BX-04-BC05000952,MECHANICAL,HC-Production,ACTIVE,,,,,
BC02140043,HC-C-C-索尼格2300剥线机-BC02140043,MECHANICAL,HC-Production,ACTIVE,,,,,
BC05001008,HC-Other-四点气动压接机-BC05001008,MECHANICAL,HC-Production,ACTIVE,,,,,
BC02001210,HC-Other-光纤全自动剥皮机-BC02001210,MECHANICAL,HC-Production,ACTIVE,,,,,
BC02050034,HC-Other-气动压接机-BC02050034,MECHANICAL,HC-Production,ACTIVE,,,,,
